Ticker,Date,Spot_Rate,Qualifier,Qualifier_Description
index,,data_Value,qualifier,qualifier_Description
FBXD,2023-08-18,338.13,NERC,North Europe China
FBXD,2023-08-18,414.8,NAWC,North America West China
FBXD,2023-08-18,521.71,NAEE,North America East Europe
FBXD,2023-08-18,359.68,MEDC,Mediterranean China
FBXD,2023-08-18,504.67,NAEC,North America East China
FBXD,2023-08-18,1683.39,CNER,China North Europe
FBXD,2023-08-18,2463.15,ESAW,Europe South America West
FBXD,2023-08-17,3077.33,CNAE,China North America East
FBXD,2023-08-17,338.13,NERC,North Europe China
FBXD,2023-08-17,2327.88,CMED,China Mediterranean
FBXD,2023-08-17,1098.06,ESAE,Europe South America East
FBXD,2023-08-17,1236.39,ENAE,Europe North America East
FBXD,2023-08-17,2454.58,ESAW,Europe South America West
FBXD,2023-08-17,1526.73,GLBL,Global
FBXD,2023-08-17,2041.74,CNAW,China North America West
FBXD,2023-08-17,414.8,NAWC,North America West China
FBXD,2023-08-17,358.34,MEDC,Mediterranean China
FBXD,2023-08-17,521.71,NAEE,North America East Europe
FBXD,2023-08-17,1691.37,CNER,China North Europe
FBXD,2023-08-17,504.67,NAEC,North America East China
FBXD,2023-08-17,1035.59,PANA,China North America East - West Spread
FBXD,2023-08-16,2959.03,CNAE,China North America East
FBXD,2023-08-16,338.13,NERC,North Europe China
FBXD,2023-08-16,1020.47,ESAE,Europe South America East
FBXD,2023-08-16,1236.39,ENAE,Europe North America East
FBXD,2023-08-16,1464.61,GLBL,Global
FBXD,2023-08-16,1142.39,PANA,China North America East - West Spread
FBXD,2023-08-16,2449.56,ESAW,Europe South America West
FBXD,2023-08-16,1816.64,CNAW,China North America West
FBXD,2023-08-16,2327.88,CMED,China Mediterranean
FBXD,2023-08-16,414.8,NAWC,North America West China
FBXD,2023-08-16,311.4,MEDC,Mediterranean China
FBXD,2023-08-16,521.71,NAEE,North America East Europe
FBXD,2023-08-16,504.68,NAEC,North America East China
FBXD,2023-08-16,1691.04,CNER,China North Europe
FBXD,2023-08-15,2322.45,CMED,China Mediterranean
FBXD,2023-08-15,1461.47,GLBL,Global
FBXD,2023-08-15,1027.76,ESAE,Europe South America East
FBXD,2023-08-15,1416,ENAE,Europe North America East
FBXD,2023-08-15,2449.56,ESAW,Europe South America West
FBXD,2023-08-15,338.13,NERC,North Europe China
FBXD,2023-08-15,1814.93,CNAW,China North America West
FBXD,2023-08-15,419.2,NAWC,North America West China
FBXD,2023-08-15,2846.47,CNAE,China North America East
FBXD,2023-08-15,298.59,MEDC,Mediterranean China
FBXD,2023-08-15,521.81,NAEE,North America East Europe
FBXD,2023-08-15,499.1,NAEC,North America East China
FBXD,2023-08-15,1691.04,CNER,China North Europe
FBXD,2023-08-15,1031.54,PANA,China North America East - West Spread
FBXD,2023-08-14,2349.92,CMED,China Mediterranean
FBXD,2023-08-14,338.13,NERC,North Europe China
FBXD,2023-08-14,1416,ENAE,Europe North America East
FBXD,2023-08-14,2449.56,ESAW,Europe South America West
FBXD,2023-08-14,1527.85,GLBL,Global
FBXD,2023-08-14,1968.72,CNAW,China North America West
FBXD,2023-08-14,419.2,NAWC,North America West China
FBXD,2023-08-14,3000.37,CNAE,China North America East
FBXD,2023-08-14,522.28,NAEE,North America East Europe
FBXD,2023-08-14,1027.76,ESAE,Europe South America East
FBXD,2023-08-14,315.37,MEDC,Mediterranean China
FBXD,2023-08-14,499.1,NAEC,North America East China
FBXD,2023-08-14,1781.9,CNER,China North Europe
FBXD,2023-08-14,1031.65,PANA,China North America East - West Spread
